n,d,repeat,elapsed,rank,T_over_rank,T_over_nk,T_over_nk2
1100,2,2,0.130000114441,39,3.333336267716e-03,3.030305697923e-06,7.770014610060e-08
1100,2,0,0.131000041962,38,3.447369525307e-03,3.133972295734e-06,8.247295515089e-08
1100,2,3,0.131000041962,44,2.977273680947e-03,2.706612437225e-06,6.151391902783e-08
1100,2,1,0.223999977112,77,2.909090611842e-03,2.644627828947e-06,3.434581596035e-08
1100,4,0,0.194000005722,84,2.309523877643e-03,2.099567161494e-06,2.499484716064e-08
1100,4,3,0.847000122070,232,3.650862595131e-03,3.318965995573e-06,1.430588791195e-08
1100,4,1,0.933000087738,277,3.368231363675e-03,3.062028512432e-06,1.105425455752e-08
1100,4,2,1.483999967575,354,4.192090303884e-03,3.810991185349e-06,1.076551182302e-08
1100,8,3,2.460999965668,463,5.315334699066e-03,4.832122453697e-06,1.043654957602e-08
1100,8,2,8.035000085831,825,9.739394043431e-03,8.853994584937e-06,1.073211464841e-08
1100,8,1,8.233999967575,817,1.007833533363e-02,9.162123030572e-06,1.121434887463e-08
1100,8,0,8.259000062943,785,1.052101918846e-02,9.564562898602e-06,1.218415655873e-08
1100,16,3,7.568000078201,825,9.173333428123e-03,8.339394025566e-06,1.010835639463e-08
1100,16,2,8.131000041962,843,9.645314403276e-03,8.768467639342e-06,1.040150372401e-08
1100,16,0,8.330999851227,892,9.339685931869e-03,8.490623574426e-06,9.518636294200e-09
1100,16,1,8.627000093460,889,9.704162084882e-03,8.821965531711e-06,9.923470789326e-09
1100,32,2,9.101999998093,896,1.015848214073e-02,9.234983764299e-06,1.030690152265e-08
1100,32,1,9.259999990463,898,1.031180399829e-02,9.374367271172e-06,1.043916177191e-08
1100,32,0,9.299999952316,919,1.011969526911e-02,9.199722971922e-06,1.001057994768e-08
1100,32,3,9.451000213623,929,1.017330485858e-02,9.248458962348e-06,9.955284136004e-09
1200,2,0,0.035000085831,8,4.375010728836e-03,3.645842274030e-06,4.557302842538e-07
1200,2,1,0.046000003815,11,4.181818528609e-03,3.484848773841e-06,3.168044339855e-07
1200,2,2,0.095000028610,29,3.275863055525e-03,2.729885879604e-06,9.413399584842e-08
1200,2,3,0.098000049591,34,2.882354399737e-03,2.401961999781e-06,7.064594117003e-08
1200,4,0,0.351000070572,120,2.925000588099e-03,2.437500490083e-06,2.031250408402e-08
1200,4,1,0.569000005722,183,3.109289648754e-03,2.591074707295e-06,1.415887818194e-08
1200,4,2,0.570999860764,175,3.262856347220e-03,2.719046956017e-06,1.553741117724e-08
1200,4,3,0.581000089645,189,3.074074548388e-03,2.561728790324e-06,1.355412058372e-08
1200,8,2,1.342000007629,334,4.017964094699e-03,3.348303412249e-06,1.002486051572e-08
1200,8,1,7.037000179291,779,9.033376353390e-03,7.527813627825e-06,9.663432128145e-09
1200,8,0,8.848999977112,885,9.998870030635e-03,8.332391692196e-06,9.415131855588e-09
1200,8,3,9.061999797821,886,1.022799074246e-02,8.523325618718e-06,9.620006341668e-09
1200,16,3,11.237999916077,957,1.174294662077e-02,9.785788850641e-06,1.022548469242e-08
1200,16,2,11.272999763489,961,1.173048882777e-02,9.775407356477e-06,1.017212003796e-08
1200,16,1,11.476999998093,952,1.205567226690e-02,1.004639355575e-05,1.055293440730e-08
1200,16,0,11.895999908447,964,1.234024886768e-02,1.028354072307e-05,1.066757336418e-08
1200,32,1,11.363999843597,948,1.198734160717e-02,9.989451339309e-06,1.053739592754e-08
1200,32,3,11.569000005722,973,1.189003083836e-02,9.908359031965e-06,1.018330835762e-08
1200,32,2,11.651000022888,953,1.222560338183e-02,1.018800281820e-05,1.069045416390e-08
1200,32,0,12.302999973297,1016,1.210925194222e-02,1.009104328518e-05,9.932129217701e-09
1300,2,0,0.072000026703,12,6.000002225240e-03,4.615386327108e-06,3.846155272590e-07
1300,2,1,0.091000080109,15,6.066672007243e-03,4.666670774802e-06,3.111113849868e-07
1300,2,3,0.117000102997,35,3.342860085624e-03,2.571430835095e-06,7.346945243129e-08
1300,2,2,0.272000074387,76,3.578948347192e-03,2.753037190148e-06,3.622417355458e-08
1300,4,0,0.302999973297,97,3.123711064919e-03,2.402854665322e-06,2.477169758064e-08
1300,4,2,0.509999990463,158,3.227848040907e-03,2.482960031467e-06,1.571493690802e-08
1300,4,1,0.616000175476,177,3.480226980091e-03,2.677097676993e-06,1.512484563273e-08
1300,4,3,1.123999834061,247,4.550606615630e-03,3.500466627408e-06,1.417192966562e-08
1300,8,1,3.626000165939,519,6.986512843814e-03,5.374240649087e-06,1.035499161674e-08
1300,8,2,13.298000097275,918,1.448583888592e-02,1.114295298917e-05,1.213829301652e-08
1300,8,0,13.578999996185,909,1.493839383519e-02,1.149107218091e-05,1.264144354336e-08
1300,8,3,14.565000057220,899,1.620133488011e-02,1.246256529239e-05,1.386269776684e-08
1300,16,3,14.131999969482,999,1.414614611560e-02,1.088165085815e-05,1.089254340155e-08
1300,16,0,15.484000205994,1022,1.515068513307e-02,1.165437317928e-05,1.140349626153e-08
1300,16,2,15.934999942780,1027,1.551606615655e-02,1.193543550504e-05,1.162165092993e-08
1300,16,1,16.529000043869,1064,1.553477447732e-02,1.194982652102e-05,1.123103996336e-08
1300,32,2,14.665999889374,1008,1.454960306485e-02,1.119200235758e-05,1.110317694204e-08
1300,32,1,15.263999938965,1030,1.481941741647e-02,1.139955185882e-05,1.106752607653e-08
1300,32,0,15.967999935150,1040,1.535384609149e-02,1.181065083961e-05,1.135639503808e-08
1300,32,3,16.663000106812,1048,1.589980926222e-02,1.223062250940e-05,1.167044132577e-08
1400,2,2,0.057000160217,8,7.125020027161e-03,5.089300019400e-06,6.361625024251e-07
1400,2,0,0.074999809265,12,6.249984105428e-03,4.464274361020e-06,3.720228634183e-07
1400,2,3,0.143999814987,31,4.645155322167e-03,3.317968087262e-06,1.070312286214e-07
1400,2,1,0.176000118256,47,3.744683367141e-03,2.674773833672e-06,5.691008156749e-08
1400,4,2,0.190999984741,61,3.131147290840e-03,2.236533779171e-06,3.666448818313e-08
1400,4,3,0.404000043869,107,3.775701344570e-03,2.696929531836e-06,2.520494889566e-08
1400,4,0,0.437999963760,124,3.532257772261e-03,2.523041265901e-06,2.034710698307e-08
1400,4,1,0.555000066757,168,3.303571825936e-03,2.359694161383e-06,1.404579857966e-08
1400,8,1,12.682999849319,903,1.404540404133e-02,1.003243145809e-05,1.111011235669e-08
1400,8,2,16.185999870300,1011,1.600989106855e-02,1.143563647753e-05,1.131121313307e-08
1400,8,0,16.217999935150,1020,1.589999993642e-02,1.135714281173e-05,1.113445373699e-08
1400,8,3,16.269999980927,1009,1.612487609606e-02,1.151776864004e-05,1.141503333998e-08
1400,16,1,17.238999843597,1056,1.632481045795e-02,1.166057889854e-05,1.104221486604e-08
1400,16,2,18.032999992371,1059,1.702832860469e-02,1.216309186050e-05,1.148545029320e-08
1400,16,3,18.592000007629,1091,1.704124656978e-02,1.217231897841e-05,1.115702931110e-08
1400,16,0,18.741999864578,1066,1.758161338141e-02,1.255829527243e-05,1.178076479590e-08
1400,32,2,18.461999893188,1094,1.687568545995e-02,1.205406104282e-05,1.101833733348e-08
1400,32,3,19.259000062943,1096,1.757208034940e-02,1.255148596386e-05,1.145208573345e-08
1400,32,0,20.209000110626,1126,1.794760222969e-02,1.281971587835e-05,1.138518284045e-08
1400,32,1,20.493000030518,1135,1.805550663482e-02,1.289679045344e-05,1.136281097219e-08
1500,2,2,0.083000183105,10,8.300018310547e-03,5.533345540365e-06,5.533345540365e-07
1500,2,3,0.124000072479,19,6.526319604171e-03,4.350879736114e-06,2.289936703218e-07
1500,2,0,0.129999876022,18,7.222215334574e-03,4.814810223050e-06,2.674894568361e-07
1500,2,1,0.346999883652,78,4.448716457074e-03,2.965810971382e-06,3.802321758182e-08
1500,4,0,0.628999948502,127,4.952755500012e-03,3.301837000008e-06,2.599871653550e-08
1500,4,2,0.848000049591,165,5.139394239946e-03,3.426262826631e-06,2.076522925231e-08
1500,4,1,0.891999959946,186,4.795698709385e-03,3.197132472924e-06,1.718888426303e-08
1500,4,3,1.522000074387,262,5.809160589262e-03,3.872773726175e-06,1.478157910754e-08
1500,8,3,3.371000051498,435,7.749425405743e-03,5.166283603829e-06,1.187651403179e-08
1500,8,2,6.184999942780,499,1.239478946449e-02,8.263192976325e-06,1.655950496258e-08
