n,repeat,elapsed,rank,T_over_rank,T_over_nk,T_over_nk2
1900,0,0.174000024796,109,1.596330502711e-03,8.401739487954e-07,7.708017878857e-09
1900,1,0.032000064850,10,3.200006484985e-03,1.684213939466e-06,1.684213939466e-07
1900,2,0.105000019073,77,1.363636611344e-03,7.177034796547e-07,9.320824411100e-09
1900,3,0.042999982834,25,1.719999313354e-03,9.052627965024e-07,3.621051186009e-08
2000,0,0.065999984741,45,1.466666327582e-03,7.333331637912e-07,1.629629252869e-08
2000,1,0.082999944687,59,1.406778723507e-03,7.033893617533e-07,1.192185358904e-08
2000,2,0.051999807358,33,1.575751738115e-03,7.878758690574e-07,2.387502633507e-08
2000,3,0.049999952316,29,1.724136286768e-03,8.620681433842e-07,2.972648770290e-08
2100,0,0.046999931335,30,1.566664377848e-03,7.460306561182e-07,2.486768853727e-08
2100,1,0.216000080109,115,1.878261566162e-03,8.944102696010e-07,7.777480605226e-09
2100,2,0.157999992371,93,1.698924649146e-03,8.090117376887e-07,8.699050942889e-09
2100,3,0.101999998093,69,1.478260841922e-03,7.039337342488e-07,1.020193817752e-08
2200,0,0.051000118256,23,2.217396445896e-03,1.007907475407e-06,4.382206414815e-08
2200,1,0.446000099182,172,2.593023832454e-03,1.178647196570e-06,6.852599980059e-09
2200,2,0.140000104904,80,1.750001311302e-03,7.954551415010e-07,9.943189268762e-09
2200,3,0.065999984741,35,1.885713849749e-03,8.571426589768e-07,2.448979025648e-08
2300,0,0.059999942780,28,2.142855099269e-03,9.316761301171e-07,3.327414750418e-08
2300,1,0.082000017166,47,1.744681216301e-03,7.585570505656e-07,1.613951171416e-08
2300,2,0.125000000000,74,1.689189189189e-03,7.344300822562e-07,9.924730841300e-09
2300,3,0.154999971390,83,1.867469534817e-03,8.119432760072e-07,9.782449108520e-09
2400,0,0.348000049591,136,2.558823894052e-03,1.066176622522e-06,7.839533989130e-09
2400,1,0.051999807358,5,1.039996147156e-02,4.333317279816e-06,8.666634559631e-07
2400,2,0.060999870300,19,3.210519489489e-03,1.337716453954e-06,7.040612915546e-08
2400,3,0.115000009537,61,1.885246057979e-03,7.855191908247e-07,1.287736378401e-08
2500,0,0.284999847412,118,2.415252944170e-03,9.661011776682e-07,8.187298115832e-09
2500,1,0.078999996185,33,2.393939278343e-03,9.575757113370e-07,2.901744579809e-08
2500,2,0.408999919891,149,2.744965905311e-03,1.097986362124e-06,7.369035987412e-09
2500,3,0.069000005722,22,3.136363896457e-03,1.254545558583e-06,5.702479811739e-08
2600,0,0.365999937057,135,2.711110644870e-03,1.042734863412e-06,7.723961951198e-09
2600,1,0.177999973297,81,2.197530534532e-03,8.452040517432e-07,1.043461792276e-08
2600,2,0.164999961853,76,2.171052129645e-03,8.350200498635e-07,1.098710591926e-08
2600,3,0.128999948502,60,2.149999141693e-03,8.269227468050e-07,1.378204578008e-08
2700,0,0.205000162125,91,2.252749034337e-03,8.343514941988e-07,9.168697738448e-09
2700,1,0.163000106812,70,2.328572954450e-03,8.624344275742e-07,1.232049182249e-08
2700,2,0.151000022888,67,2.253731684898e-03,8.347154388512e-07,1.245843938584e-08
2700,3,0.082000017166,26,3.153846814082e-03,1.168091412623e-06,4.492659279319e-08
2800,0,0.094000101089,30,3.133336702983e-03,1.119048822494e-06,3.730162741646e-08
2800,1,0.094000101089,29,3.241382796189e-03,1.157636712925e-06,3.991850734223e-08
2800,2,0.166000127792,69,2.405798953512e-03,8.592139119687e-07,1.245237553578e-08
2800,3,0.205000162125,82,2.500001977130e-03,8.928578489749e-07,1.088851035335e-08
2900,0,0.082999944687,10,8.299994468689e-03,2.862067058169e-06,2.862067058169e-07
2900,1,0.495000123978,150,3.300000826518e-03,1.137931319489e-06,7.586208796593e-09
2900,2,0.235999822617,90,2.622220251295e-03,9.042138797570e-07,1.004682088619e-08
2900,3,0.213999986649,83,2.578313092151e-03,8.890734800522e-07,1.071172867533e-08
3000,0,0.197000026703,73,2.698630502779e-03,8.995435009264e-07,1.232251371132e-08
3000,1,0.296000003815,103,2.873786444803e-03,9.579288149343e-07,9.300279756644e-09
3000,2,0.128999948502,47,2.744679755353e-03,9.148932517843e-07,1.946581386775e-08
3000,3,0.109999895096,33,3.333330154419e-03,1.111110051473e-06,3.367000155979e-08
