rank,frobenius_norm
319,2.707775e+00
320,2.692057e+00
321,2.676469e+00
322,2.661046e+00
323,2.645626e+00
324,2.630298e+00
325,2.615035e+00
326,2.599797e+00
327,2.584817e+00
328,2.570008e+00
329,2.555173e+00
330,2.540408e+00
331,2.525772e+00
332,2.511239e+00
333,2.496895e+00
334,2.482506e+00
335,2.468133e+00
336,2.453834e+00
337,2.439728e+00
338,2.425680e+00
339,2.411710e+00
340,2.397710e+00
341,2.383887e+00
342,2.370174e+00
343,2.356621e+00
344,2.343141e+00
345,2.329730e+00
346,2.316353e+00
347,2.303124e+00
348,2.289934e+00
349,2.276839e+00
350,2.263788e+00
351,2.250829e+00
352,2.237902e+00
353,2.225135e+00
354,2.212331e+00
355,2.199642e+00
356,2.187085e+00
357,2.174571e+00
358,2.162109e+00
359,2.149770e+00
360,2.137427e+00
361,2.125113e+00
362,2.112999e+00
363,2.100878e+00
364,2.088743e+00
365,2.076759e+00
366,2.064827e+00
367,2.052964e+00
368,2.041188e+00
369,2.029405e+00
370,2.017708e+00
371,2.006090e+00
372,1.994501e+00
373,1.982855e+00
374,1.971288e+00
375,1.959892e+00
376,1.948597e+00
377,1.937333e+00
378,1.926226e+00
379,1.915212e+00
380,1.904170e+00
381,1.893211e+00
382,1.882373e+00
383,1.871584e+00
384,1.860965e+00
385,1.850321e+00
386,1.839724e+00
387,1.829269e+00
388,1.818774e+00
389,1.808346e+00
390,1.797956e+00
391,1.787679e+00
392,1.777529e+00
393,1.767321e+00
394,1.757196e+00
395,1.747151e+00
396,1.737155e+00
397,1.727125e+00
398,1.717272e+00
399,1.707375e+00
400,1.697572e+00
401,1.687862e+00
402,1.678207e+00
403,1.668619e+00
404,1.659030e+00
405,1.649471e+00
406,1.640046e+00
407,1.630637e+00
408,1.621348e+00
409,1.612106e+00
410,1.602934e+00
411,1.593716e+00
412,1.584499e+00
413,1.575383e+00
414,1.566332e+00
415,1.557302e+00
416,1.548340e+00
417,1.539383e+00
418,1.530426e+00
419,1.521496e+00
420,1.512578e+00
421,1.503784e+00
422,1.495030e+00
423,1.486316e+00
424,1.477627e+00
425,1.469060e+00
426,1.460580e+00
427,1.452082e+00
428,1.443679e+00
429,1.435314e+00
430,1.426985e+00
431,1.418666e+00
432,1.410403e+00
433,1.402148e+00
434,1.393980e+00
435,1.385801e+00
436,1.377699e+00
437,1.369662e+00
438,1.361701e+00
439,1.353779e+00
440,1.345917e+00
441,1.338057e+00
442,1.330202e+00
443,1.322385e+00
444,1.314591e+00
445,1.306957e+00
446,1.299308e+00
447,1.291649e+00
448,1.284039e+00
449,1.276425e+00
450,1.268898e+00
451,1.261441e+00
452,1.254012e+00
453,1.246605e+00
454,1.239289e+00
455,1.232047e+00
456,1.224831e+00
457,1.217621e+00
458,1.210561e+00
459,1.203519e+00
460,1.196491e+00
461,1.189522e+00
462,1.182652e+00
463,1.175751e+00
464,1.168890e+00
465,1.162036e+00
466,1.155218e+00
467,1.148388e+00
468,1.141692e+00
469,1.134990e+00
470,1.128322e+00
471,1.121689e+00
472,1.115078e+00
473,1.108557e+00
474,1.102063e+00
475,1.095600e+00
476,1.089172e+00
477,1.082750e+00
478,1.076380e+00
479,1.070065e+00
480,1.063796e+00
481,1.057561e+00
482,1.051338e+00
483,1.045142e+00
484,1.038974e+00
485,1.032853e+00
486,1.026732e+00
487,1.020644e+00
488,1.014563e+00
489,1.008531e+00
490,1.002587e+00
491,9.966600e-01
492,9.907400e-01
493,9.848640e-01
494,9.790680e-01
495,9.733030e-01
496,9.675682e-01
497,9.618953e-01
498,9.562224e-01
499,9.506126e-01
500,9.449906e-01
501,9.394284e-01
502,9.338723e-01
503,9.282995e-01
504,9.227623e-01
505,9.172201e-01
506,9.117436e-01
507,9.062642e-01
508,9.008067e-01
509,8.953785e-01
510,8.899944e-01
511,8.846378e-01
512,8.793057e-01
513,8.739804e-01
514,8.686575e-01
515,8.633388e-01
516,8.580635e-01
517,8.528910e-01
518,8.477447e-01
519,8.425930e-01
520,8.374626e-01
521,8.323791e-01
522,8.273684e-01
523,8.223748e-01
524,8.173892e-01
525,8.124155e-01
526,8.074502e-01
527,8.025453e-01
528,7.976850e-01
529,7.928408e-01
530,7.880303e-01
531,7.832229e-01
532,7.784181e-01
533,7.736855e-01
534,7.689300e-01
535,7.641876e-01
536,7.595095e-01
537,7.548245e-01
538,7.502048e-01
539,7.456254e-01
540,7.410372e-01
541,7.364796e-01
542,7.319635e-01
543,7.274364e-01
544,7.229013e-01
545,7.184034e-01
546,7.139926e-01
547,7.095717e-01
548,7.051462e-01
549,7.007975e-01
550,6.964768e-01
551,6.921989e-01
552,6.879076e-01
553,6.836640e-01
554,6.794358e-01
555,6.752141e-01
556,6.710087e-01
557,6.668421e-01
558,6.626774e-01
559,6.585300e-01
560,6.544027e-01
561,6.503341e-01
562,6.462819e-01
563,6.422651e-01
564,6.382657e-01
565,6.342898e-01
566,6.303362e-01
567,6.263680e-01
568,6.224303e-01
569,6.184839e-01
570,6.145783e-01
571,6.106578e-01
572,6.067659e-01
573,6.028948e-01
574,5.990849e-01
575,5.952933e-01
576,5.915032e-01
577,5.877266e-01
578,5.839473e-01
579,5.802427e-01
580,5.765325e-01
581,5.728733e-01
582,5.692295e-01
583,5.655697e-01
584,5.619403e-01
585,5.583052e-01
586,5.546878e-01
587,5.511131e-01
588,5.475596e-01
589,5.439946e-01
590,5.404518e-01
591,5.369280e-01
592,5.334069e-01
593,5.299163e-01
594,5.264892e-01
595,5.230552e-01
596,5.196356e-01
597,5.161983e-01
598,5.128242e-01
599,5.094565e-01
600,5.060971e-01
601,5.027769e-01
602,4.994535e-01
603,4.961784e-01
604,4.929052e-01
605,4.896402e-01
606,4.864053e-01
607,4.831685e-01
608,4.799403e-01
609,4.767106e-01
610,4.735186e-01
611,4.703720e-01
612,4.672597e-01
613,4.641595e-01
614,4.610643e-01
615,4.580025e-01
616,4.549451e-01
617,4.519097e-01
618,4.488760e-01
619,4.458804e-01
620,4.428698e-01
621,4.398612e-01
622,4.368600e-01
623,4.338990e-01
624,4.309399e-01
625,4.279820e-01
626,4.250899e-01
627,4.222107e-01
628,4.193203e-01
629,4.164479e-01
630,4.135855e-01
631,4.107249e-01
632,4.078792e-01
633,4.050721e-01
634,4.022991e-01
635,3.995365e-01
636,3.967961e-01
637,3.940690e-01
638,3.913444e-01
639,3.886290e-01
640,3.859786e-01
641,3.833243e-01
642,3.806806e-01
643,3.780414e-01
644,3.753989e-01
645,3.727746e-01
646,3.701352e-01
647,3.675573e-01
648,3.649772e-01
649,3.624220e-01
650,3.598949e-01
651,3.573651e-01
652,3.548566e-01
653,3.523568e-01
654,3.498540e-01
655,3.473728e-01
656,3.448846e-01
657,3.424132e-01
658,3.399629e-01
659,3.375165e-01
660,3.350906e-01
661,3.326920e-01
662,3.302934e-01
663,3.279148e-01
664,3.255368e-01
665,3.231714e-01
666,3.208238e-01
667,3.184962e-01
668,3.161973e-01
669,3.138914e-01
670,3.115917e-01
671,3.092997e-01
672,3.070639e-01
673,3.048195e-01
674,3.025673e-01
675,3.003298e-01
676,2.981290e-01
677,2.959350e-01
678,2.937670e-01
679,2.916376e-01
680,2.895021e-01
681,2.873633e-01
682,2.852258e-01
683,2.831155e-01
684,2.810081e-01
685,2.789156e-01
686,2.768296e-01
687,2.747699e-01
688,2.727106e-01
689,2.706439e-01
690,2.685692e-01
691,2.665116e-01
692,2.644959e-01
693,2.624926e-01
694,2.605001e-01
695,2.585172e-01
696,2.565523e-01
697,2.545839e-01
698,2.526207e-01
699,2.506827e-01
700,2.487460e-01
701,2.468546e-01
702,2.449518e-01
703,2.430608e-01
704,2.411963e-01
705,2.393361e-01
706,2.374858e-01
707,2.356540e-01
708,2.338202e-01
709,2.319906e-01
710,2.301743e-01
711,2.283870e-01
712,2.266013e-01
713,2.248285e-01
714,2.230700e-01
715,2.213119e-01
716,2.195549e-01
717,2.178054e-01
718,2.160563e-01
719,2.143132e-01
720,2.125855e-01
721,2.108776e-01
722,2.091777e-01
723,2.074841e-01
724,2.057938e-01
725,2.041246e-01
726,2.024679e-01
727,2.008072e-01
728,1.991436e-01
729,1.974992e-01
730,1.958668e-01
731,1.942281e-01
732,1.926218e-01
733,1.910094e-01
734,1.894330e-01
735,1.878558e-01
736,1.862905e-01
737,1.847263e-01
738,1.831892e-01
739,1.816502e-01
740,1.801080e-01
741,1.785878e-01
742,1.770722e-01
743,1.755567e-01
744,1.740589e-01
745,1.725658e-01
746,1.710733e-01
747,1.695952e-01
748,1.681279e-01
749,1.666742e-01
750,1.652273e-01
751,1.638057e-01
752,1.623900e-01
753,1.609761e-01
754,1.595818e-01
755,1.581872e-01
756,1.567988e-01
757,1.554260e-01
758,1.540577e-01
759,1.526840e-01
760,1.513278e-01
761,1.499783e-01
762,1.486287e-01
763,1.472773e-01
764,1.459462e-01
765,1.446249e-01
766,1.432961e-01
767,1.419934e-01
768,1.406916e-01
769,1.393958e-01
770,1.381179e-01
771,1.368596e-01
772,1.355983e-01
773,1.343657e-01
774,1.331239e-01
775,1.318811e-01
776,1.306452e-01
777,1.294121e-01
778,1.281949e-01
779,1.269977e-01
780,1.258065e-01
781,1.246198e-01
782,1.234300e-01
783,1.222518e-01
784,1.210783e-01
785,1.199100e-01
786,1.187672e-01
787,1.176283e-01
788,1.164955e-01
789,1.153639e-01
790,1.142384e-01
791,1.131078e-01
792,1.120101e-01
793,1.109174e-01
794,1.098294e-01
795,1.087556e-01
796,1.076909e-01
797,1.066273e-01
798,1.055768e-01
799,1.045275e-01
800,1.034787e-01
801,1.024403e-01
802,1.014093e-01
803,1.003797e-01
804,9.935198e-02
805,9.832625e-02
806,9.731582e-02
807,9.630669e-02
808,9.530585e-02
809,9.430213e-02
810,9.331052e-02
811,9.233050e-02
812,9.134827e-02
813,9.037911e-02
814,8.940581e-02
815,8.845251e-02
816,8.750814e-02
817,8.656617e-02
818,8.562847e-02
819,8.469328e-02
820,8.375541e-02
821,8.282040e-02
822,8.190574e-02
823,8.098616e-02
824,8.006954e-02
825,7.914953e-02
826,7.823280e-02
827,7.732528e-02
828,7.642663e-02
829,7.553906e-02
830,7.465722e-02
831,7.378828e-02
832,7.292391e-02
833,7.207321e-02
834,7.121798e-02
835,7.036168e-02
836,6.950496e-02
837,6.866336e-02
838,6.782317e-02
839,6.698969e-02
840,6.616524e-02
841,6.535211e-02
842,6.454059e-02
843,6.374981e-02
844,6.295319e-02
845,6.216405e-02
846,6.137128e-02
847,6.060619e-02
848,5.983390e-02
849,5.907246e-02
850,5.832125e-02
851,5.757232e-02
852,5.682752e-02
853,5.608065e-02
854,5.534397e-02
855,5.461859e-02
856,5.389824e-02
857,5.317741e-02
858,5.245728e-02
859,5.173479e-02
860,5.102736e-02
861,5.031609e-02
862,4.960448e-02
863,4.890863e-02
864,4.821511e-02
865,4.751814e-02
866,4.683718e-02
867,4.616065e-02
868,4.548798e-02
869,4.482768e-02
870,4.417656e-02
871,4.351943e-02
872,4.286981e-02
873,4.222172e-02
874,4.157948e-02
875,4.093713e-02
876,4.030076e-02
877,3.967557e-02
878,3.905544e-02
879,3.844117e-02
880,3.783833e-02
881,3.723610e-02
882,3.663253e-02
883,3.604785e-02
884,3.545693e-02
885,3.487051e-02
886,3.429513e-02
887,3.371831e-02
888,3.314565e-02
889,3.257262e-02
890,3.202596e-02
891,3.147678e-02
892,3.092799e-02
893,3.039264e-02
894,2.985882e-02
895,2.932724e-02
896,2.880813e-02
897,2.829529e-02
898,2.778905e-02
899,2.729004e-02
900,2.678888e-02
901,2.631030e-02
902,2.582947e-02
903,2.534950e-02
904,2.486724e-02
905,2.438889e-02
906,2.391423e-02
907,2.344721e-02
908,2.300155e-02
